Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
25,AdjacencyList,10,17,0.7500,0.3778,3868078025,V9,203,686,392.4444,0,false,0.0497
26,AdjacencyList,10,19,0.7500,0.4222,2228230790,V9,70,257,148.7778,0,false,0.0670
27,AdjacencyList,10,17,0.7500,0.3778,588642155,V9,15,616,294.7778,0,false,0.0557
28,AdjacencyList,10,17,0.7500,0.3778,3243872716,V9,592,1292,832.0000,0,false,0.0499
29,AdjacencyList,10,19,0.7500,0.4222,1604068981,V9,216,638,383.5556,0,false,0.0555
30,AdjacencyList,10,15,0.7500,0.3333,4259253942,V9,250,670,445.3333,0,false,0.0447
31,AdjacencyList,10,17,0.7500,0.3778,2619398607,V9,79,611,383.4444,0,false,0.0680
32,AdjacencyList,10,16,0.7500,0.3556,979580372,V9,141,555,328.8889,0,false,0.0576
33,AdjacencyList,10,17,0.7500,0.3778,3634708233,V9,424,825,653.5556,0,false,0.0686
34,AdjacencyList,10,18,0.7500,0.4000,1994880398,V9,13,435,195.3333,0,false,0.0430
35,AdjacencyList,10,17,0.7500,0.3778,355040263,V9,146,677,378.1111,0,false,0.0601
36,AdjacencyList,10,15,0.7500,0.3333,3010515724,V9,25,431,240.2222,0,false,0.0573
37,AdjacencyList,10,18,0.7500,0.4000,1371170289,V9,18,441,278.6667,0,false,0.0636
38,AdjacencyList,10,18,0.7500,0.4000,4026331850,V9,71,623,274.1111,0,false,0.0622
39,AdjacencyList,10,14,0.7500,0.3111,2386511315,V9,324,917,582.7778,0,false,0.0430
40,AdjacencyList,10,19,0.7500,0.4222,746658080,V9,32,408,212.1111,0,false,0.0661
41,AdjacencyList,10,17,0.7500,0.3778,3401817441,V9,166,710,419.8889,0,false,0.0498
42,AdjacencyList,10,17,0.7500,0.3778,1761978306,V9,156,646,415.4444,0,false,0.0603
43,AdjacencyList,10,17,0.7500,0.3778,122212671,V9,443,782,601.7778,0,false,0.0500
44,AdjacencyList,10,16,0.7500,0.3556,2777338932,V9,200,789,415.0000,0,false,0.0465
45,AdjacencyList,10,18,0.7500,0.4000,1137826097,V9,160,445,292.4444,0,false,0.0674
46,AdjacencyList,10,16,0.7500,0.3556,3793047558,V9,190,552,346.1111,0,false,0.0566
47,AdjacencyList,10,15,0.7500,0.3333,2153245423,V9,320,601,477.2222,0,false,0.0555
48,AdjacencyList,10,13,0.7500,0.2889,513400788,V9,535,1084,782.4444,0,false,0.0404
49,AdjacencyList,10,16,0.7500,0.3556,3168506349,V9,85,729,358.4444,0,false,0.0491
50,AdjacencyList,10,15,0.7500,0.3333,1528666614,V9,4,805,472.8889,0,false,0.0526
51,AdjacencyList,10,14,0.7500,0.3111,4183799675,V9,147,493,341.8889,0,false,0.0507
52,AdjacencyList,10,15,0.7500,0.3333,2543943140,V9,22,573,228.2222,0,false,0.0491
53,AdjacencyList,10,18,0.7500,0.4000,904101105,V9,215,806,490.8889,0,false,0.0527
54,AdjacencyList,10,19,0.7500,0.4222,3559341766,V9,240,661,459.1111,0,false,0.0561
55,AdjacencyList,10,17,0.7500,0.3778,1920008531,V9,224,553,330.0000,0,false,0.0506
56,AdjacencyList,10,16,0.7500,0.3556,280293896,V9,40,367,161.5556,0,false,0.0490
57,AdjacencyList,10,17,0.7500,0.3778,2935594657,V9,179,563,320.3333,0,false,0.0436
58,AdjacencyList,10,16,0.7500,0.3556,1295821322,V9,42,882,467.3333,0,false,0.0500
59,AdjacencyList,10,15,0.7500,0.3333,3950963583,V9,349,583,489.1111,0,false,0.0561
60,AdjacencyList,10,17,0.7500,0.3778,2311124548,V9,98,576,288.7778,0,false,0.0606
61,AdjacencyList,10,19,0.7500,0.4222,671394413,V9,88,320,232.3333,0,false,0.0558
62,AdjacencyList,10,18,0.7500,0.4000,3326859074,V9,220,624,440.8889,0,false,0.1189
63,AdjacencyList,10,18,0.7500,0.4000,1687477239,V9,22,281,129.7778,0,false,0.0650
64,AdjacencyList,10,18,0.7500,0.4000,47785304,V9,302,665,467.7778,0,false,0.0625
65,AdjacencyList,10,15,0.7500,0.3333,2702967965,V9,373,1035,741.4444,0,false,0.0535
66,AdjacencyList,10,15,0.7500,0.3333,1063229330,V9,146,797,437.1111,0,false,0.0548
67,AdjacencyList,10,14,0.7500,0.3111,3718372691,V9,142,647,376.8889,0,false,0.0353
